"","evap_factor","sal","pH_out","pCO2_out","DIC_out","Alk_out","Omega_arag_out","Na_out","Ca_out","Mg_out","K_out","Cl_out","SO4_out"
"32",0.845,43.7869822485207,8.14400233257419,0.000353862698940231,2.41419930153292,2.81656585178853,6.29263492193037,589.34865302127,11.8343103016319,66.0645023390954,16.5680344222847,708.875187067752,36.1419816876168
"33",0.84,44.0476190476191,8.14231310065448,0.000356991201280239,2.42856946268085,2.83333103979419,6.33186533645807,592.856662948561,11.9047522680434,66.457665472012,16.6666531752608,713.0946608558,36.357111441418
"34",0.835,44.311377245509,8.14061158154969,0.000360170796125475,2.44311172068334,2.8502970074637,6.37156587403408,596.40668475505,11.9760378464869,66.8555362951892,16.7664529850817,717.364667004568,36.5748175862157
"35",0.83,44.578313253012,8.13889761314716,0.000363402685901515,2.45782918570828,2.86746738332627,6.41174518369089,599.99947768761,12.0481822828837,67.2581998641117,16.8674551960372,721.686118744736,36.7951466830502
"36",0.825,44.8484848484849,8.13717103011255,0.000366688109945888,2.47272504332123,2.88484588387465,6.4524121316117,603.635819399005,12.1212011927511,67.6657432954647,16.9696816698515,726.059951445791,37.0181464217085
"37",0.82,45.1219512195122,8.1354316638046,0.000370028345904273,2.48780255678401,2.90243631624792,6.49357580809109,607.316506509036,12.1951105724706,68.0782558299463,17.0731548014589,730.48712329099,37.2438656551366
"38",0.815,45.398773006135,8.13367934218389,0.00037342471119262,2.50306506943808,2.92024258101072,6.5352455347286,611.042355186356,12.269926810971,68.4958288973922,17.1778975353594,734.968615977163,37.4723544351198
"39",0.81,45.679012345679,8.13191388972248,0.000376878564521698,2.51851600717611,2.93826867503849,6.57743087195331,614.814201751816,12.3456667018437,68.91855618431,17.2839333825812,739.505435440437,37.703664049283
"40",0.805,45.9627329192547,8.1301351273058,0.000380391307495778,2.53415888100563,2.95651869450659,6.62014162678794,618.632903304315,12.42234745591,69.3465337039295,17.3912864382739,744.098612609005,37.9378470594708
"41",0.8,46.25,8.12834287213368,0.000383964386282417,2.54999728970887,2.97499683799343,6.66338786095265,622.499338370107,12.4999867142592,69.7798598688794,17.4999813999629,748.749204184125,38.174957341567
"42",0.795,46.5408805031447,8.12653693762094,0.000387599293356336,2.56603492260301,2.99370740970363,6.70717989933267,626.414407576616,12.5786025617795,70.218635566602,17.6100435864912,753.458293450589,38.4150501268158
"43",0.79,46.8354430379747,8.12471713328562,0.000391297569333783,2.5822755624051,3.0126548228057,6.75152833867261,630.379034351831,12.6582135412014,70.6629642376345,17.721498957682,758.226991117965,38.6581820447134
